sepedanya	sepeda nya
menerjemahkannya	men terjemah kan nya
menentu	men tentu
daud	daud
bakar	bakar
wajan	wajan
video	video
optimis	optimis
bukit	bukit
dialihkan	di alih kan
swalayan	swalayan
harapkan	harap kan
krim	krim
pariwisata	pariwisata
berpalang	ber palang
mengasuransi	men asuransi
penguasa	pen kuasa
diperingkat	di peringkat
keberangkatannya	ke berangkat an nya
kanan	kanan
dilunasi	di lunas i
aduannya	adu an nya
ahlinya	ahli nya
bertarung	ber tarung
cara	cara
tingkah	tingkah
mengadakan	men ada kan
nonbank	non bank
memotivasi	men motivasi
sehebat	se hebat
bersikap	ber sikap
didapati	di dapat i
setara	setara
ngengat	ngengat
penguasanya	pen kuasa nya
pelat	pelat
seekor	se ekor
klinik	klinik
reaktor	reaktor
doktor	doktor
belanjaan	belanja an
minoritas	minoritas
rendahkan	rendah kan
angsurannya	angsur an nya
mencermati	men cermat i
berbatu	ber batu
celana	celana
kualitasnya	kualitas nya
mengemuka	men kemuka
ajaibnya	ajaib nya
persentase	persentase
disangga	di sangga
survey	survey
antarprogram	antar program
berukuran	ber ukur an
pengelola	pen kelola
food	food
tips	tips
mengganggunya	men ganggu nya
lorong	lorong
meleleh	men leleh
transportasinya	transportasi nya
cerah	cerah
transparannya	transparan nya
butuh	butuh
menyelaraskan	men selaras kan
pangkal	pangkal
dijahitkan	di jahit kan
pengeboran	pengeboran
nasabahnya	nasabah nya
lukanya	luka nya
penjumlahan	pen jumlah an
berpikirnya	ber pikir nya
tamunya	tamu nya
perbedaannya	per beda an nya
tersobek	ter sobek
eternitnya	eternit nya
ketatnya	ketat nya
dibenahi	di benah i
nun	nun
giliran	gilir an
awet	awet
membawakan	men bawa kan
budimu	budi mu
patuh	patuh
terseleksi	ter seleksi
ambisi	ambisi
diperberat	di per berat
memaksa	men paksa
menegaskan	men tegas kan
jumlah	jumlah
janjinya	janji nya
wahyu	wahyu
penutup	pen tutup
menyentak	men sentak
penyusutan	pen susut an
tekstil	tekstil
tehnya	teh nya
meluruskan	men lurus kan
jumpa	jumpa
perairan	per air an
diucapkan	di ucap kan
jatuh	jatuh
perangkap	pen rangkap
perjudian	per judi an
iringan	iring an
pemuatan	pen muat an
seharga	se harga
antrinya	antri nya
ilustrasi	ilustrasi
mendiktekan	men dikte kan
lingkup	lingkup
impiannya	impian nya
memobilisasi	men mobilisasi
hayatnya	hayat nya
melantunkan	men lantun kan
pendapatannya	pen dapat an nya
ragukan	ragu kan
bepergian	bepergian
dipinjamkan	di pinjam kan
sesuai	sesuai
nuansa	nuansa
ampun	ampun
ingini	ingin i
bengkok	bengkok
konsepnya	konsep nya
monumennya	monumen nya
yayasan	yayasan
sains	sains
meninggal	men tinggal
peminatnya	pen minat nya
asosiasi	asosiasi
budaya	budaya
sebaliknya	sebaliknya
pemerintahannya	pen perintah an nya
memberitahunya	men beritahu nya
belanda	belanda
pelayannya	pen layan nya
menyampaikan	men sampai kan
signifikan	signifikan
tersembunyi	ter sembunyi
dialirkan	di alir kan
bertakhta	ber takhta
menebarkan	men tebar kan
kuingin	ku ingin
ilahi	ilahi
berjudul	ber judul
menakjubkannya	men takjub kan nya
sepenting	se penting
dibungakan	di bunga kan
tanggungan	tanggung an
olahraga	olahraga
sentimeter	sentimeter
tesnya	tes nya
sekantung	se kantung
bantuannya	bantu an nya
kartun	kartun
ditaruh	di taruh
jauhnya	jauh nya
tahapan	tahap an
menyantuni	men santun i
anggun	anggun
lanjutnya	lanjut nya
meningkatkan	men tingkat kan
menghindarinya	men hindar i nya
pasifik	pasifik
mengira	men kira
kawin	kawin
pembahasan	pen bahas an
pemburu	pen buru
dramatis	dramatis
mengucap	men ucap
konsep	konsep
mengkreditnya	men kredit nya
kompeten	kompeten
elektronik	elektronik
menyesali	men sesal i
dirindukan	di rindu kan
membuatku	men buat ku
rotasi	rotasi
dikategori	di kategori
pembatasan	pen batas an
berarti	ber arti
dibunyikan	di bunyi kan
menganugerahkan	men anugerah kan
lerengan	lereng an
semaksimal	se maksimal
rumahan	rumah an
melodi	melodi
disesatkan	di sesat kan
hanyut	hanyut
terpelajar	ter pelajar
kaosnya	kaos nya
dipercaya	di percaya
mencermatinya	men cermat i nya
solusi	solusi
hitungan	hitung an
kendalikan	kendali kan
menyikapi	men sikap i
kecil	kecil
setianya	setia nya
mengalirkan	men alir kan
tabungan	tabung an
mendesentralisasikannya	men desentralisasi kan nya
mencurigai	men curiga i
perkenalan	per kenal an
temanmu	teman mu
mengajarnya	men ajar nya
dilaporkan	di lapor kan
diinstruksikan	di instruksi kan
pujian	puji an
menuju	men tuju
ditegur	di tegur
temanku	teman ku
dijajakan	di jaja kan
radio	radio
meletihkan	men letih kan
perempuannya	perempuan nya
memeriksanya	men periksa nya
bersorak	ber sorak
agama	agama
mutunya	mutu nya
bersalin	ber salin
diprakarsai	di prakarsa i
menggugahnya	men gugah nya
moral	moral
berlandaskan	ber landas kan
sup	sup
bata	bata
menekan	men tekan
pulangnya	pulang nya
membongkar	men bongkar
biografi	biografi
pembuktian	pen bukti an
analis	analis
pungutannya	pungut an nya
diagnosis	diagnosis
terdahsyat	ter dahsyat
buruannya	buru an nya
kacang	kacang
sawah	sawah
observasi	observasi
membebani	men beban i
diserap	di serap
embun	embun
harumnya	harum nya
proses	proses
dititipkannya	di titip kan nya
menindak	men tindak
bersejarah	ber sejarah
tersajikan	ter saji kan
bom	bom
terpilih	ter pilih
rasionya	rasio nya
bahu	bahu
mendaftarkannya	men daftar kan nya
ide	ide
melaut	men laut
luntur	luntur
lidah	lidah
menguras	men kuras
ekonomis	ekonomis
ditawan	di tawan
gurun	gurun
persimpangan	per simpang an
ringkasannya	ringkas an nya
mempertimbangkan	men timbang kan
unggun	unggun
didesentralisasikan	di desentralisasi kan
getaran	getar an
konstan	konstan
konferensi	konferensi
kagumi	kagum i
akar	akar
situsnya	situs nya
cerminan	cermin an
enggan	enggan
diwajibkan	di wajib kan
pengadu	pen adu
pembacanya	pen baca nya
zat	zat
merekrut	men rekrut
mencangkul	men cangkul
penangguhan	pen tangguh an
prosesi	proses i
eksteriornya	eksterior nya
membayar	men bayar
mencairkannya	men cair kan nya
pemetikan	pen petik an
terpetakan	ter peta kan
ajakan	ajak an
merampingkan	men ramping kan
pandai	pandai
jawabannya	jawab an nya
menjatuhkan	men jatuh kan
gelar	gelar
senasib	se nasib
ekonom	ekonom
direlokasi	di relokasi
memfotokopi	men fotokopi
sintesis	sintesis
matematika	matematika
wabah	wabah
terbitnya	terbit nya
memburu	men buru
tertipu	ter tipu
tergenang	ter genang
konsekuensinya	konsekuensi nya
dilimpahkan	di limpah kan
menceritakan	men cerita kan
gumpalan	gumpal an
perbelanjaan	per belanja an
benci	benci
berdusta	ber dusta
sana	sana
nyawaku	nyawa aku
optimalisasi	optimalisasi
menggariskan	men garis kan
tenteram	tenteram
antiseparatis	anti separatis
dibacakan	di baca kan
memimpin	men pimpin
dibaharui	di baharu i
sebatas	se batas
pembayaran	pen bayar an
madunya	madu nya
pertukangan	per tukang an
berutang	ber utang
asing	asing
sebaik	se baik
walikota	walikota
prestasi	prestasi
praktek	praktek
merencanakan	men rencana kan
waris	waris
mewakilkan	men wakil kan
surgawi	surgawi
terjangan	terjang an
sorot	sorot
tingkatannya	tingkat an nya
buatan	buat an
dikuatirkan	di kuatir kan
syair	syair
militernya	militer nya
bakteri	bakteri
pukul	pukul
jembatannya	jembatan nya
rak	rak
impian	impian
tafsiran	tafsir an
berkolaborasi	ber kolaborasi
parit	parit
paparan	papar an
wilayahnya	wilayah nya
tuntutan	tuntut an
terbentang	ter bentang
saing	saing
bisnis	bisnis
kalifornia	kalifornia
diperintahkan	di perintah kan
obyeknya	obyek nya
mengungsi	men ungsi
menyalin	men salin
melebur	men lebur
angkutan	angkut an
pencatat	pen catat
junjunganku	junjung an ku
bersamaan	ber sama an
kolam	kolam
bersih	bersih
goncangan	goncang an
penyembahan	pen sembah an
mengkonsultasikannya	men konsultasi kan nya
mitra	mitra
pertanaman	per tanam an
ungkapkan	ungkap kan
menerobos	men terobos
merangkul	men rangkul
integritas	integritas
allahku	allah ku
formasi	formasi
selesainya	selesai nya
membasahi	men basah i
daftarkan	daftar kan
memenangkan	men menang kan
diselidiki	di selidik i
atmosfir	atmosfir
berusaha	ber usaha
berduka	ber duka
menggugah	men gugah
sukses	sukses
adat	adat
teduh	teduh
visi	visi
kukenal	ku kenal
nafsunya	nafsu nya
tembok	tembok
moskow	moskow
dijembatani	di jembatan i
diterjang	di terjang
penulisannya	pen tulis an nya
pembina	pen bina
dicantumkan	di cantum kan
lengkung	lengkung
ditakuti	di takut i
dikuasai	di kuasa i
pelelangan	pen lelang an
hangat	hangat
terukir	ter ukir
cabang	cabang
terpecahkan	ter pecah kan
meningkat	men tingkat
selain	se lain
menimpanya	men timpa nya
penginjilannya	pen injil an nya
menyiram	men siram
pergunungan	per gunung an
intensifnya	intensif nya
terangmu	terang mu
beragamnya	ber ragam nya
diagram	diagram
gemuruh	gemuruh
sisiku	sisi ku
dimekarkan	di mekar kan
selisihnya	selisih nya
secepat	se cepat
pangkalan	pangkal an
terwujudnya	ter wujud nya
memotret	men potret
dibanyak	di banyak
kebutuhan	ke butuh an
tuhanku	tuhan ku
dipicu	di picu
penggalian	pen gali an
bertemakan	ber tema kan
kuil	kuil
pil	pil
kredibel	kredibel
melaksanakan	men laksana kan
progresif	progresif
pemimpinnya	pen pimpin nya
menginformasikan	men informasi kan
tingkatan	tingkat an
bidangnya	bidang nya
dipelihara	di pelihara
dijaga	di jaga
pembajakan	pen bajak an
merajalela	men rajalela
ribuan	ribu an
dilempar	di lempar
pembebasan	pen bebas an
tabungannya	tabung an nya
mengartikannya	men arti kan nya
diceritakan	di cerita kan
zaitun	zaitun
pembicaraan	pen bicara an
menghanguskan	men hangus kan
pangkuannya	pangku an nya
komponen	komponen
ambivalen	ambivalen
kolega	kolega
bumbu	bumbu
mungilnya	mungil nya
dikonversi	di konversi
omzetnya	omzet nya
penghematan	pen hemat an
antarkeyakinan	antar ke yakin an
memerbaiki	men perbaiki
jenazah	jenazah
melekat	men lekat
kelasnya	kelas nya
diutamakan	di utama kan
perhubungan	per hubung an
semalam	se malam
kuingat	ku ingat
meluncur	men luncur
penahanan	pen tahan an
berdampak	ber dampak
pencetakan	pen cetak an
bercela	ber cela
meminimalkan	men minimal kan
berprestasi	ber prestasi
halangan	halang an
diindikasikan	di indikasi kan
dikomunikasikan	di komunikasi kan
kencang	kencang
bermuatan	ber muat an
diraih	di raih
traktornya	traktor nya
ajuan	aju an
melintasinya	men lintas i nya
berbasiskan	ber basis kan
merenung	men renung
belulang	belulang
perusakan	pen rusak an
iman	iman
dikenal	di kenal
pengaruhnya	pengaruh nya
disembelih	di sembelih
terkelola	ter kelola
pikun	pikun
