mengganggu	men ganggu
berencana	ber rencana
ledakan	ledak an
melanda	men landa
masuk	masuk
jiwaku	jiwa aku
dicoba	di coba
diperbuat	di per buat
dendam	dendam
fleksibilitas	fleksibilitas
media	media
termulia	ter mulia
sumberdaya	sumberdaya
menghindari	men hindar i
gelisah	gelisah
rumor	rumor
geram	geram
letusan	letus an
mengenalinya	men kenal i nya
pertobatannya	per tobat an nya
prevalensinya	prevalensi nya
mencarikan	men cari kan
pemalsuan	pen palsu an
peraga	pen raga
metodologi	metodologi
kantornya	kantor nya
maju	maju
tuturnya	tutur nya
berbunyi	ber bunyi
mengikrarkan	men ikrar kan
pemetikan	pen petik an
olahraganya	olahraga nya
detektif	detektif
regulasi	regulasi
bertekuk	ber tekuk
kredibel	kredibel
ciri	ciri
merenungkan	men renung kan
acuh	acuh
menggembala	men gembala
janinnya	janin nya
jeda	jeda
beliau	beliau
antarsektor	antar sektor
kipas	kipas
aborsi	aborsi
pelayaran	pen layar an
dibalik	di balik
mengungguli	men unggul i
terperosok	terperosok
ditekan	di tekan
mengartikan	men arti kan
mempertimbangkan	men timbang kan
penembakan	pen tembak an
sidang	sidang
pengguliran	pen gulir an
berpikirnya	ber pikir nya
menyeberangi	men seberang i
pemberdayaannya	pemberdayaan nya
persentase	persentase
pengaruhi	pengaruh i
mempertahankan	men tahan kan
adik	adik
pembaca	pen baca
kunyah	kunyah
berjudul	ber judul
bergunung	ber gunung
menempelkan	men tempel kan
tariknya	tarik nya
ditanami	di tanam i
terjerat	ter jerat
menjulurkan	men julur kan
dihabiskan	di habis kan
pemberi	pen beri
mengucilkan	men kucil kan
diumumkan	di umum kan
mendatangi	men datang i
solusinya	solusi nya
jatuhnya	jatuh nya
menyentak	men sentak
penyempitan	pen sempit an
bersesuaian	ber sesuai an
dianggarkan	di anggar kan
diperberat	di per berat
berteknologi	ber teknologi
standarisasi	standarisasi
disetorkan	di setor kan
terbelenggu	ter belenggu
mencurahkan	men curah kan
merajalela	men rajalela
kehendaknya	kehendak nya
terobosan	terobos an
lokali	lokal i
bapa	bapa
bencana	bencana
skenario	skenario
mendesentralisasikan	men desentralisasi kan
pertanahan	per tanah an
diairi	di air i
pipa	pipa
terpenting	ter penting
juli	juli
ramah	ramah
pemesanan	pen pesan an
allahmu	allah mu
balistik	balistik
ditangan	di tangan
fokusnya	fokus nya
tambahan	tambah an
berhikmat	ber hikmat
firmanku	firman ku
serakah	serakah
kupasang	ku pasang
mengejeknya	men ejek nya
benturan	bentur an
bekal	bekal
ketidakharmonisan	ke tidak harmonis an
taiwan	tai wan
perilaku	perilaku
tes	tes
hadiah	hadiah
dijawab	di jawab
berbincang	ber bincang
lolos	lolos
perwujudan	per wujud an
kentalnya	kental nya
ditunjang	di tunjang
kontrakan	kontrak an
pembagian	pen bagi an
seusia	se usia
menggelapkan	men gelap kan
ahli	ahli
memantapkan	men mantap kan
hatinya	hati nya
sesamaku	se sama aku
pembakaran	pen bakar an
periksa	periksa
komunitasnya	komunitas nya
menganan	men kanan
kunjungi	kunjung i
berkabung	berkabung
mengarsipkan	men arsip kan
jadi	jadi
menyembur	men sembur
warganegara	warganegara
sembunyikan	sembunyi kan
kinerjanya	kinerja nya
gugus	gugus
diiringi	di iring i
berorientasi	ber orientasi
dipungut	di pungut
sahabatku	sahabat ku
laki	laki
memandangnya	men pandang nya
dibengkokkan	di bengkok kan
ahlinya	ahli nya
ditabung	di tabung
diluputkan	di luput kan
kamera	kamera
dikritik	di kritik
pencuri	pen curi
upaya	upaya
balai	bala i
pembukaan	pen buka an
pelapor	pen lapor
pemilihan	pen pilih an
melunasi	men lunas i
membuat	men buat
dimensi	dimensi
dihindarkan	di hindar kan
ilmiah	ilmiah
panah	panah
sikapnya	sikap nya
kancing	kancing
saudaraku	saudara aku
kaget	kaget
wakili	wakil i
warga	warga
dibangkitkan	di bangkit kan
penyalurannya	pen salur an nya
menganggukkan	men angguk kan
ngengat	ngengat
haus	haus
langka	langka
bunga	bunga
mengungkapkan	men ungkap kan
pengambilannya	pen ambil an nya
ditembuskan	di tembus kan
olah	olah
henti	henti
perbuatan	per buat an
hiburan	hibur an
praktiknya	praktik nya
dirinci	di rinci
diubahnya	di ubah nya
bangunannya	bangun an nya
belajarnya	belajar nya
dicabut	di cabut
kepalaku	kepala aku
hawa	hawa
digarisbawahi	di garisbawah i
induk	induk
dikategorikan	di kategori kan
cerdik	cerdik
menggapai	men gapai
ruang	ruang
kuda	kuda
dibentuknya	di bentuk nya
pelaporan	pen lapor an
neraka	neraka
pajaknya	pajak nya
mekar	mekar
penjadwalan	pen jadwal an
rezim	rezim
cela	cela
hikmatnya	hikmat nya
perguruan	per guru an
menggunting	men gunting
lucunya	lucu nya
diperkenalkan	di per kenal kan
ruh	ruh
apresiasi	apresiasi
lunturnya	luntur nya
peninjau	pen tinjau
komponen	komponen
campur	campur
kontrak	kontrak
memasukinya	men masuk i nya
dibawanya	di bawa nya
genetik	genetik
dewasa	dewasa
meluas	men luas
prakteknya	praktek nya
penyampaiannya	pen sampai an nya
landas	landas
jalurnya	jalur nya
gangguan	ganggu an
setoran	setor an
pelaksana	pen laksana
menanggapinya	men tanggap i nya
dilihat	di lihat
berpengetahuan	ber pengetahuan
alumni	alumni
nondepartemen	non departemen
dilekatkan	di lekat kan
pasif	pasif
puja	puja
ladang	ladang
lunak	lunak
peminjamannya	pen pinjam an nya
penyebabnya	pen sebab nya
kedatangan	ke datang an
transaksi	transaksi
tepian	tepi an
akurasinya	akurasi nya
menutupi	men tutup i
disajikan	di saji kan
anggap	anggap
selesainya	selesai nya
memuja	men puja
strategis	strategis
menyedihkannya	men sedih kan nya
pengolahan	pen olah an
pergumulan	per gumul an
memperdamaikan	men damai kan
artian	arti an
raya	raya
menakar	men takar
angin	angin
bebasnya	bebas nya
mengoptimalkan	men optimal kan
melemahnya	men lemah nya
rupanya	rupa nya
manajerial	manajerial
digigit	di gigit
tegar	tegar
limbah	limbah
diraup	di raup
diukur	di ukur
bertanggung	ber tanggung
dicegat	di cegat
gunung	gunung
ketidakadaan	ke tidak ada an
menjurus	men jurus
patokan	patok an
cara	cara
mengedipkan	men kedip kan
disamakan	di sama kan
terhebat	ter hebat
berbiaya	ber biaya
pemahaman	pen paham an
mengikatnya	men ikat nya
juruselamat	juruselamat
nonmiskin	nonmiskin
terputus	ter putus
mengarah	men arah
tawanan	tawan an
miliarder	miliarder
trendi	trend i
penghargaan	pen harga an
terkubur	ter kubur
aniaya	aniaya
termiskin	ter miskin
swedia	swedia
penyehatan	pen sehat an
mengestimasi	men estimasi
pengolah	pen olah
perlawanan	per lawan an
pemicu	pen picu
keturunannya	ke turun an nya
pewawancara	pen wawancara
saudaramu	saudara mu
memperolehnya	men peroleh nya
responsnya	respons nya
dibunuh	di bunuh
minat	minat
jantan	jantan
gemuruhnya	gemuruh nya
memveto	men veto
limpahan	limpah an
