tuna	tuna
seakurat	se akurat
berbenah	ber benah
dipatuhi	di patuh i
karyawan	karya wan
dinikahkan	di nikah kan
tersapu	ter sapu
web	web
mengucapkannya	men ucap kan nya
menebus	men tebus
lokal	lokal
penggagasnya	pen gagas nya
penguasaan	pen kuasa an
membatasi	men batas i
membedakan	men beda kan
setangkai	se tangkai
terdorong	ter dorong
ahlinya	ahli nya
dipegang	di pegang
menyesali	men sesal i
mendatanginya	men datang i nya
otaknya	otak nya
tantangan	tantang an
cakap	cakap
kriteria	kriteria
ketidaksabaran	ke tidak sabar an
konferensi	konferensi
diasosiasikan	di asosiasi kan
jejak	jejak
perkataanku	per kata an ku
pungutnya	pungut nya
rambut	rambut
mewarisi	men waris i
berkoordinasi	ber koordinasi
perampingan	pen ramping an
terbang	terbang
jiwaku	jiwa aku
pengambilalihan	pen ambilalih an
diserahkannya	di serah kan nya
menyurati	men surat i
implementasi	implementasi
mini	min i
bahtera	bahtera
adidaya	adidaya
memenangkan	men menang kan
berjubahkan	ber jubah kan
komisaris	komisaris
ketidakpekaan	ke tidak peka an
desain	desain
diharapkan	di harap kan
figurnya	figur nya
ringkasannya	ringkas an nya
panik	panik
nonperbankan	non per bank an
perisai	perisai
saudaranya	saudara nya
pencabutan	pen cabut an
perayaan	pen raya an
asin	asin
penyitaan	pen sita an
antikekerasan	anti ke keras an
melapor	men lapor
petualangan	petualangan
membanjiri	men banjir i
menimba	men timba
bangku	bangku
dipermasalahkan	di per masalah kan
melambaikan	men lambai kan
radiasi	radiasi
pelindung	pen lindung
tentu	tentu
mainanmu	main an mu
menggabungkan	men gabung kan
pidato	pidato
tempat	tempat
terjerat	ter jerat
dirjen	dirjen
perpindahan	per pindah an
memindai	men pindai
asisten	asisten
berupa	ber rupa
usahanya	usaha nya
anakku	anak ku
investasinya	investasi nya
ilegal	ilegal
menjatuhi	men jatuh i
max	max
menuliskannya	men tulis kan nya
melanggengkannya	men langgeng kan nya
telaknya	telak nya
pergiliran	per gilir an
celah	celah
mengabari	men kabar i
militan	militan
hilangnya	hilang nya
fotokopinya	fotokopi nya
pipa	pipa
berkelahi	ber kelahi
diterbitkannya	di terbit kan nya
mengintai	men intai
dikonfirmasikan	di konfirmasi kan
dinasnya	dinas nya
mencemaskan	men cemas kan
sindikat	sindikat
bersengketa	ber sengketa
restrukturisasi	restrukturisasi
mencalonkan	men calon kan
potensialnya	potensial nya
penyambutan	pen sambut an
mengingini	men ingin i
mempengaruhi	men pengaruh i
dicakup	di cakup
memperkirakan	men kira kan
diiringi	di iring i
stasiun	stasiun
semusim	se musim
menstimulasi	men stimulasi
anaknya	anak nya
berpindahnya	ber pindah nya
juruselamatnya	juruselamat nya
kitabnya	kitab nya
tertib	tertib
curian	curi an
lontarkan	lontar kan
paskah	paskah
relevansinya	relevansi nya
menyedot	men sedot
gamblang	gamblang
arsitektur	arsitektur
tertawaan	ter tawa an
mengagungkan	men agung kan
tanganmu	tangan mu
jadinya	jadi nya
menjangkiti	men jangkit i
antarbadan	antar badan
aksesnya	akses nya
timah	timah
mengelompokkan	men kelompok kan
pinggir	pinggir
penyaringan	pen saring an
pemanfaatnya	pen manfaat nya
ramping	ramping
terperangkap	ter pen rangkap
berkomitmen	ber komitmen
menyinggung	men singgung
sebangsamu	se bangsa mu
teh	teh
kode	kode
mudahnya	mudah nya
mewajibkan	men wajib kan
karakteristiknya	karakteristik nya
dirampungkan	di rampung kan
menabung	men tabung
bulan	bulan
menjawab	men jawab
dijaminkan	di jamin kan
bakar	bakar
perorangan	per orang an
ucapannya	ucap an nya
sepuasnya	se puas nya
menyembah	men sembah
peristiwa	peristiwa
terumbu	terumbu
nuklir	nuklir
latarbelakang	latarbelakang
donasi	donasi
cakupannya	cakup an nya
kutukan	kutuk an
meluap	men luap
bersaing	ber saing
alam	alam
membatu	men batu
dijaga	di jaga
diulang	di ulang
kebohongan	ke bohong an
tangkap	tangkap
belalang	belalang
mencelakakan	men celaka kan
letih	letih
memanipulasi	men manipulasi
penumpang	pen tumpang
buyut	buyut
hektare	hektare
tim	tim
melumpuhkan	men lumpuh kan
pertobatannya	per tobat an nya
memandangku	men pandang ku
terkena	ter kena
mengkonfirmasikan	men konfirmasi kan
lezatnya	lezat nya
menyuratkan	men surat kan
ditempelkan	di tempel kan
otomatis	otomatis
semut	semut
membidik	men bidik
kumulatif	kumulatif
agamanya	agama nya
antartempat	antar tempat
mendistribusikan	men distribusi kan
universitas	universitas
dipisah	di pisah
dikuburkan	di kubur kan
dusta	dusta
miskinnya	miskin nya
komplain	komplain
berbelok	ber belok
mewakilkan	men wakil kan
bermuatan	ber muat an
bibit	bibit
februari	februari
elpiji	elpiji
seriusnya	serius nya
zamannya	zaman nya
setingkat	se tingkat
panel	panel
gubernurnya	gubernur nya
ternaknya	ternak nya
telpon	telpon
sebangsaku	se bangsa aku
menjatahkan	men jatah kan
menyangka	men sangka
membahu	men bahu
abu	abu
penonton	pen tonton
lebar	lebar
merobohkan	men roboh kan
nyawa	nyawa
terbitkan	terbit kan
semprot	semprot
lapar	lapar
merambah	men rambah
menghiburnya	men hibur nya
selamat	selamat
pengadministrasiannya	pen administrasi an nya
pengikut	pen ikut
menjauhkan	men jauh kan
relevannya	relevan nya
perabotan	perabot an
memangkas	men pangkas
planet	planet
menggadaikan	men gadai kan
kirimu	kiri mu
jari	jari
konkret	konkret
diperhitungkan	di per hitung kan
favorit	favorit
ambruk	ambruk
bersandarkan	ber sandar kan
memperbudak	men budak
longgar	longgar
pembobolan	pen bobol an
memamerkannya	men pamer kan nya
berimplikasi	ber implikasi
premi	premi
ambivalen	ambivalen
meja	meja
menyuburkan	men subur kan
bersahabat	ber sahabat
sumberdayanya	sumberdaya nya
