diasuransikan	di @@asuransi @@kan
resminya	resmi @@nya
kurs	kurs
solidaritas	solidaritas
karakteristiknya	karakteristik @@nya
mengijinkan	men @@ijin @@kan
beroperasinya	ber @@operasi @@nya
menjualnya	men @@jual @@nya
mobilitas	mobilitas
getah	getah
pesanannya	pesan @@an @@nya
laba	laba
pernafasan	per @@nafas @@an
membebankan	men @@beban @@kan
dipelajarinya	di @@pelajar @@i @@nya
masukan	masuk @@an
sayap	sayap
sesuainya	sesuai @@nya
gemilang	gemilang
mengeringkan	men @@kering @@kan
mereproduksinya	men @@reproduksi @@nya
menggema	men @@gema
terselubung	ter @@selubung
bertukar	ber @@tukar
kawal	kawal
terluka	ter @@luka
sistem	sistem
petanya	peta @@nya
riilnya	riil @@nya
angkutan	angkut @@an
hayatnya	hayat @@nya
rinci	rinci
miliki	milik @@i
simbol	simbol
acuan	acu @@an
brutonya	bruto @@nya
investigasinya	investigasi @@nya
terpecahkan	ter @@pecah @@kan
lebat	lebat
membelokkan	men @@belok @@kan
meneguhkan	men @@teguh @@kan
butuh	butuh
mempekerjakannya	men @@pekerja @@kan @@nya
akad	akad
ajarkan	ajar @@kan
adikku	adik @@ku
mengiklankan	men @@iklan @@kan
balas	balas
memastikan	men @@pasti @@kan
pasangannya	pasang @@an @@nya
pengrusakan	pen @@rusak @@an
berpotensial	ber @@potensial
reaktif	reaktif
kebungkaman	ke @@bungkam @@an
pematang	pen @@matang
renangnya	renang @@nya
jaya	jaya
memimpikan	men @@mimpi @@kan
makam	makam
menyelenggarakan	men @@selenggara @@kan
farmasi	farmasi
supir	supir
diplomatik	diplomatik
saksikan	saksi @@kan
menyangkal	men @@sangkal
serendah	se @@rendah
menyepakatinya	men @@sepakat @@i @@nya
residual	residual
jejak	jejak
berambisi	ber @@ambisi
memantapkan	men @@mantap @@kan
angkut	angkut
pancuran	pancur @@an
diperbudak	di @@per @@budak
penyetoran	pen @@setor @@an
dipandang	di @@pandang
persaudaraannya	per @@saudara @@an @@nya
perbantahan	per @@bantah @@an
dicanangkan	di @@canang @@kan
ketidaksiapan	ke @@tidak @@siap @@an
dipermuliakan	di @@per @@mulia @@kan
taksir	taksir
melintasi	men @@lintas @@i
menyusunnya	men @@susun @@nya
ditetapkan	di @@tetap @@kan
bergabung	ber @@gabung
alas	alas
mengabarkan	men @@kabar @@kan
hampa	hampa
bernama	ber @@nama
nuansa	nuansa
menoleransinya	men @@toleransi @@nya
diadakannya	di @@ada @@kan @@nya
keeratan	ke @@erat @@an
dibahas	di @@bahas
tembusan	tembus @@an
patah	patah
ampas	ampas
menyederhanakan	men @@sederhana @@kan
pencipta	pen @@cipta
menguatkan	men @@kuat @@kan
diumumkan	di @@umum @@kan
talentanya	talenta @@nya
perhiasan	per @@hias @@an
wartawan	wartawan
pengangkatan	pen @@angkat @@an
mendominasinya	men @@dominasi @@nya
keikutsertaan	ke @@ikutserta @@an
merespon	men @@respon
pelukan	peluk @@an
keliling	keliling
lokasi	lokasi
berbenah	ber @@benah
rona	rona
impian	impian
kepunyaan	ke @@punya @@an
bergantung	ber @@gantung
petisi	petisi
diulang	di @@ulang
mengurus	men @@urus
bersenjata	ber @@senjata
pepohonan	pepohonan
identitas	identitas
tembak	tembak
kerangka	kerangka
sepak	sepak
ishak	ishak
bersaksi	ber @@saksi
pemasarannya	pen @@pasar @@an @@nya
menstimulasi	men @@stimulasi
gaji	gaji
keturunannya	ke @@turun @@an @@nya
berkarya	ber @@karya
kontroversial	kontroversial
mengedit	men @@edit
pekerja	pekerja
sejauh	se @@jauh
kasihi	kasih @@i
senin	senin
dikatakan	di @@kata @@kan
digalakkan	di @@galak @@kan
seekor	se @@ekor
layar	layar
omongnya	omong @@nya
pengingat	pen @@ingat
ayahmu	ayah @@mu
pengacau	pen @@kacau
rekonstruksinya	rekonstruksi @@nya
terlewatnya	ter @@lewat @@nya
diamanatkan	di @@amanat @@kan
pergelangan	per @@gelang @@an
api	api
pizza	pizza
defisit	defisit
musuhmu	musuh @@mu
menjagaku	men @@jaga @@aku
gol	gol
terkutuk	ter @@kutuk
pertaruhan	per @@taruh @@an
diikutinya	di @@ikut @@i @@nya
monitor	monitor
meminati	men @@minat @@i
menginterpretasikan	men @@interpretasi @@kan
perijinan	per @@ijin @@an
inisiatifnya	inisiatif @@nya
aktivis	aktivis
kualifikasinya	kualifikasi @@nya
dimanfaatkan	di @@manfaat @@kan
sehari	se @@hari
mendiktekan	men @@dikte @@kan
carinya	cari @@nya
dihina	di @@hina
kuncinya	kunci @@nya
allahmu	allah @@mu
santunku	santun @@ku
konkrit	konkrit
lahir	lahir
kristal	kristal
jemaatnya	jemaat @@nya
divonis	di @@vonis
teratas	ter @@atas
sekeras	se @@keras
meminjam	men @@pinjam
dimandatkan	di @@mandat @@kan
kala	kala
perwira	perwira
bernapas	ber @@napas
modul	modul
sebaiknya	se @@baik @@nya
pengabdian	pen @@abdi @@an
seksi	seks @@i
potensialnya	potensial @@nya
pertimbangannya	per @@timbang @@an @@nya
bertekuk	ber @@tekuk
terhilang	ter @@hilang
perhotelan	per @@hotel @@an
natal	natal
menyucikan	men @@suci @@kan
mencurinya	men @@curi @@nya
berkata	ber @@kata
diceraikan	di @@cerai @@kan
memilikinya	men @@milik @@i @@nya
melambaikan	men @@lambai @@kan
daratannya	darat @@an @@nya
serahkan	serah @@kan
kuatkan	kuat @@kan
imunisasi	imunisasi
mendetail	men @@detail
dokumennya	dokumen @@nya
diperintahkan	di @@perintah @@kan
krim	krim
irigasi	irigasi
mendermakan	men @@derma @@kan
alat	alat
mendaftar	men @@daftar
timnya	tim @@nya
penguasanya	pen @@kuasa @@nya
klorofil	klorofil
keju	keju
mencicil	men @@cicil
sobekan	sobek @@an
berkorelasi	ber @@korelasi
hasilnya	hasil @@nya
mengkoordinasikannya	men @@koordinasi @@kan @@nya
terusik	ter @@usik
pergiliran	per @@gilir @@an
memukulnya	men @@pukul @@nya
hidrogen	hidrogen
berbicara	ber @@bicara
menunjuknya	men @@tunjuk @@nya
pendataan	pen @@data @@an
diaplikasikan	di @@aplikasi @@kan
doktrin	doktrin
bahagiaku	bahagia @@aku
karib	karib
berpikiran	ber @@pikir @@an
didatangi	di @@datang @@i
tenis	tenis
mengeluh	men @@keluh
bahkan	bah @@kan
perpisahan	per @@pisah @@an
penampungan	pen @@tampung @@an
rendah	rendah
membuahkan	men @@buah @@kan
menabrak	men @@tabrak
tertabrak	ter @@tabrak
melunasinya	men @@lunas @@i @@nya
barangnya	barang @@nya
bertolak	ber @@tolak
melipat	men @@lipat
tanggapan	tanggap @@an
sekawasan	se @@kawasan
berkilau	ber @@kilau
disebar	di @@sebar
praktisnya	praktis @@nya
