bermimpi	ber mimpi
penerbang	pen terbang
kurasa	ku rasa
menyegarkan	men segar kan
handuk	handuk
tersulut	ter sulut
menentu	men tentu
upaya	upaya
berencana	ber rencana
soda	soda
kutuk	kutuk
mengatasinya	men atas i nya
menanyakannya	men tanya kan nya
penjualan	pen jual an
bisnis	bisnis
bergembira	ber gembira
mengasumsikan	men asumsi kan
melihatnya	men lihat nya
berlindung	ber lindung
menonjol	men tonjol
menahannya	men tahan nya
ngeri	ngeri
situasinya	situasi nya
terkucil	ter kucil
setapak	se tapak
menambahkan	men tambah kan
berjasa	ber jasa
otaknya	otak nya
mengikutkan	men ikut kan
pengepungan	pen kepung an
tari	tari
membalasnya	men balas nya
pemakai	pen pakai
tewas	tewas
terpopuler	ter populer
situasi	situasi
kejar	kejar
perolehan	peroleh an
coklat	coklat
merampingkan	men ramping kan
dilaksanakannya	di laksana kan nya
prasarana	prasarana
laut	laut
rela	rela
surgawi	surgawi
menusuk	men tusuk
tugasnya	tugas nya
manajer	manajer
penertiban	pen tertib an
kenang	kenang
jenisnya	jenis nya
wiraswasta	wiraswasta
mencuat	men cuat
percontohan	per contoh an
diterjemahkan	di terjemah kan
rahasia	rahasia
wiraswastawan	wiraswasta wan
berteriak	ber teriak
diasah	di asah
hipotesis	hipotesis
moneter	moneter
reaksinya	reaksi nya
diremehkan	di remeh kan
renovasi	renovasi
bertempur	ber tempur
meminimalisasi	men minimalisasi
pengelolaan	pen kelola an
kluster	kluster
jabar	jabar
belanjakan	belanja kan
penggajian	pen gaji an
pengajarnya	pen ajar nya
bumbu	bumbu
dipegang	di pegang
geografisnya	geografis nya
mengkredit	men kredit
libur	libur
integrasi	integrasi
ditempelkan	di tempel kan
petik	petik
diperbudak	di per budak
nonbank	non bank
pelimpahan	pen limpah an
mewujudkannya	men wujud kan nya
menyembuhkannya	men sembuh kan nya
hubungan	hubung an
gitar	gitar
ditabrakkan	di tabrak kan
komando	komando
peminatnya	pen minat nya
mencercanya	men cerca nya
peredam	pen redam
menoleransinya	men toleransi nya
tanggap	tanggap
responden	responden
pengairan	pen air an
dipersentasekan	di persentase kan
evaluasinya	evaluasi nya
ketidakpuasan	ke tidak puas an
tentaranya	tentara nya
dipermuliakan	di per mulia kan
akhir	akhir
distributor	distributor
berwujud	ber wujud
minimalnya	minimal nya
injil	injil
antarprovinsi	antar provinsi
campur	campur
dianutnya	di anut nya
daging	daging
prancis	prancis
melangsungkan	men langsung kan
manufaktur	manufaktur
antarpasangan	antar pasang an
intensif	intensif
tafsirannya	tafsir an nya
berserah	ber serah
disingkapkan	di singkap kan
sebagian	sebagian
memuji	men puji
menyeluruh	menyeluruh
melipatgandakan	men lipatganda kan
diganti	di ganti
tangkap	tangkap
mengucapkan	men ucap kan
memburuknya	men buruk nya
menyimpannya	men simpan nya
bertumbuhnya	ber tumbuh nya
berdusta	ber dusta
pasalnya	pasal nya
memucat	men pucat
piala	piala
fakta	fakta
mempertimbangkan	men timbang kan
menyinergikan	men sinergi kan
timbangannya	timbang an nya
akuisisi	akuisisi
berpandangan	ber pandang an
pertanyaannya	per tanya an nya
cairnya	cair nya
antarkota	antar kota
dilewati	di lewat i
dicocokkan	di cocok kan
logis	logis
kerasnya	keras nya
negeri	negeri
uskup	uskup
melatih	men latih
bawaan	bawa an
disahkannya	di sah kan nya
muat	muat
berpaling	ber paling
neraca	neraca
pegang	pegang
dibengkokkan	di bengkok kan
senjata	senjata
dirumahmu	di rumah mu
umurku	umur ku
pemahaman	pen paham an
menjelang	men jelang
kotorannya	kotor an nya
dinding	dinding
melumpuhkannya	men lumpuh kan nya
dilekatkan	di lekat kan
dijatuhi	di jatuh i
filosofi	filosofi
selebihnya	se lebih nya
terpasang	ter pasang
sekarat	se karat
pencakar	pen cakar
pelanggannya	pen langgan nya
militernya	militer nya
sesuainya	sesuai nya
perhimpunan	per himpun an
berbasis	ber basis
disampaikan	di sampai kan
permulaannya	per mula an nya
mendayagunakan	men dayaguna kan
pemeran	pen peran
madunya	madu nya
pestanya	pesta nya
bergegas	ber gegas
memperburuk	men buruk
menyambung	men sambung
merintis	men rintis
hartanya	harta nya
diperpanjang	di per panjang
lamban	lamban
membahasnya	men bahas nya
