halnya	hal nya
rekanan	rekan an
bermitra	ber mitra
udaranya	udara nya
dikhotbahkan	di khotbah kan
berukuran	ber ukur an
keluarnya	keluar nya
jatuhkan	jatuh kan
almamaternya	almamater nya
kapalnya	kapal nya
suratnya	surat nya
dasar	dasar
diklaim	di klaim
komisaris	komisaris
aktris	aktris
diharuskan	di harus kan
terikatnya	ter ikat nya
terkurung	ter kurung
bermerk	ber merk
kawasan	kawasan
pelengkap	pen lengkap
rakyat	rakyat
pasien	pasien
dipengaruhi	di pengaruh i
lanjutannya	lanjut an nya
pembuatnya	pen buat nya
penumpang	pen tumpang
bersinar	ber sinar
pemerannya	pen peran nya
diperdamaikan	di per damai kan
menarifkan	men tarif kan
intens	intens
depresiasi	depresiasi
bulanannya	bulan an nya
bergabung	ber gabung
darahnya	darah nya
mengolahnya	men olah nya
pengikut	pen ikut
persahabatan	per sahabat an
efisiennya	efisien nya
pemanfaatannya	pen manfaat an nya
penyisihan	pen sisih an
jualbeli	jualbeli
digabung	di gabung
minatnya	minat nya
dikonsumsi	di konsumsi
dibantu	di bantu
penyemprot	pen semprot
keharusan	ke harus an
pemerintahannya	pen perintah an nya
bengkok	bengkok
terbesar	ter besar
seru	seru
terucap	ter ucap
pemasangan	pen pasang an
melampirkannya	men lampir kan nya
sistem	sistem
tercipta	ter cipta
pelebaran	pen lebar an
terlayani	ter layan i
nampak	nampak
anggun	anggun
dikombinasikan	di kombinasi kan
diskusi	diskusi
mengusulkannya	men usul kan nya
azas	azas
berkat	berkat
mandiri	mandiri
menganggur	men anggur
senjata	senjata
narkoba	narkoba
sebaliknya	sebaliknya
disusun	di susun
habis	habis
astronot	astronot
palungan	palung an
tambal	tambal
diberikan	di beri kan
mati	mati
budimu	budi mu
bulunya	bulu nya
tanggungjawab	tanggungjawab
tebusannya	tebus an nya
membetulkan	men betul kan
kebakaran	ke bakar an
denda	denda
menorehkan	men toreh kan
pujian	puji an
foto	foto
bayangannya	bayang an nya
binaan	bina an
penganyam	pen anyam
ukiran	ukir an
membunuhnya	men bunuh nya
menggadaikan	men gadai kan
termiskin	ter miskin
sesignifikan	se signifikan
dominannya	dominan nya
bersukacita	ber sukacita
pengukuran	pen ukur an
rodanya	roda nya
mertua	mertua
ragukan	ragu kan
dibakar	di bakar
terbakar	ter bakar
dekan	dek an
kelimpahan	ke limpah an
penghalau	pen halau
dilibatkannya	di libat kan nya
penandatangan	pen tandatangan
rangkuman	rangkum an
menggabungkan	men gabung kan
kental	kental
memaksimalkan	men maksimal kan
mertuanya	mertua nya
kecap	kecap
pencabutan	pen cabut an
absensi	absensi
gerbang	gerbang
jalur	jalur
berlumur	ber lumur
membutakan	men buta kan
berpendapat	ber pen dapat
