menguraikan	men urai kan
berkenaan	ber kena an
tolong	tolong
puasa	puasa
budayanya	budaya nya
belenggu	belenggu
mengejutkan	men kejut kan
merambah	men rambah
menjualnya	men jual nya
dirintis	di rintis
utama	utama
yakub	yakub
dilaksanakan	di laksana kan
paus	paus
asistennya	asisten nya
menggoreng	men goreng
penampungan	pen tampung an
mengefisienkan	men efisien kan
rutinitas	rutinitas
diakuinya	di aku i nya
mendulang	men dulang
ketat	ketat
menghindari	men hindar i
mengobarkan	men kobar kan
menyaring	men saring
disusul	di susul
entrinya	entri nya
mengorban	men korban
menjauhi	men jauh i
dinyatakannya	di nyata kan nya
menganiaya	men aniaya
efeknya	efek nya
diajarkan	di ajar kan
terpetakan	ter peta kan
pengunjuk	pen unjuk
carinya	cari nya
dibenarkan	di benar kan
bumi	bumi
pembedahan	pen bedah an
istilahnya	istilah nya
buruh	buruh
mekar	mekar
minumnya	minum nya
menyimpan	men simpan
keluarga	keluarga
melupakan	men lupa kan
berlaga	ber laga
teladanku	teladan ku
berkendara	ber kendara
terlayani	ter layan i
mengarahkanku	men arah kan ku
prasarana	prasarana
rupa	rupa
bersimpati	ber simpati
dikoleksi	di koleksi
diterapkannya	di terap kan nya
tawa	tawa
perpanjangan	per panjang an
memperdulikan	men perduli kan
sekrup	sekrup
pembantuan	pen bantu an
bantuannya	bantu an nya
balasannya	balas an nya
rencananya	rencana nya
haluan	halu an
ceritanya	cerita nya
dibesarkan	di besar kan
penilik	pen tilik
dievaluasi	di evaluasi
perdanya	perda nya
mempersoalkan	men soal kan
memunculkan	men muncul kan
panik	panik
menyita	men sita
ibarat	ibarat
memancing	men pancing
mengeruk	men keruk
menimbun	men timbun
egois	egois
mengadministrasikan	men administrasi kan
terutang	ter utang
keterampilannya	keterampilan nya
ditunjukan	di tunjuk an
rinciannya	rinci an nya
menjunjung	men junjung
bersekolah	ber sekolah
lamban	lamban
mengerahkan	men kerah kan
majikannya	majikan nya
jauh	jauh
sangka	sangka
pembagian	pen bagi an
malas	malas
penagihan	pen tagih an
gawang	gawang
cahaya	cahaya
menggoyahkan	men goyah kan
lingkup	lingkup
tradisi	tradisi
mendua	men dua
riba	riba
pesanan	pesan an
fungsi	fungsi
cokelat	cokelat
warganya	warga nya
pembongkaran	pen bongkar an
peninjau	pen tinjau
dipaparkan	di papar kan
memperpendek	men pendek
rawan	rawan
berkurang	ber kurang
mawar	mawar
bertambahnya	ber tambah nya
akut	akut
kandangnya	kandang nya
mengucapkan	men ucap kan
ditegakkan	di tegak kan
biarkan	biar kan
ketidakwaspadaan	ke tidak waspada an
terkuno	ter kuno
melampaui	men lampau i
ditelaah	di telaah
terjaganya	ter jaga nya
audit	audit
bersepeda	ber sepeda
kucilkan	kucil kan
nyeri	nyeri
menjanjikan	men janji kan
keluarnya	keluar nya
persalinannya	per salin an nya
membutakan	men buta kan
ironis	ironis
dipakai	di pakai
konservatif	konservatif
antarsektor	antar sektor
mengakumulasi	men akumulasi
dititipkannya	di titip kan nya
fotokopinya	fotokopi nya
bi	bi
ujar	ujar
pengaruhi	pengaruh i
mengubur	men kubur
berlutut	ber lutut
kompensasi	kompensasi
membujuk	men bujuk
intensifnya	intensif nya
mengevakuasi	men evakuasi
intensitas	intensitas
melenceng	men lenceng
internasional	internasional
baki	bak i
hewan	hewan
membajak	men bajak
indikasi	indikasi
pohon	pohon
menjerat	men jerat
pembatalan	pen batal an
dititipkan	di titip kan
bersasaran	ber sasar an
asrama	asrama
nelayan	nelayan
alur	alur
susu	susu
penggoda	pen goda
bermukim	ber mukim
kuponnya	kupon nya
ragam	ragam
pinggiran	pinggir an
mengubah	men ubah
mulutku	mulut ku
gawangnya	gawang nya
lengkap	lengkap
akumulasi	akumulasi
ajaran	ajar an
pengganti	pen ganti
sawit	sawit
mengaliri	men alir i
allahnya	allah nya
pencobaan	pen coba an
ritel	ritel
semapan	se mapan
fasilitasi	fasilitas i
mengenalinya	men kenal i nya
petinggi	petinggi
menyanggah	men sanggah
sebidang	se bidang
menyelubungi	men selubung i
penolongku	pen tolong ku
jaga	jaga
dibilang	di bilang
percepatan	per cepat an
diparkir	di parkir
seni	seni
secepat	se cepat
mengontrak	men kontrak
secanggih	se canggih
laki	laki
berbuntut	ber buntut
mewah	mewah
harinya	hari nya
melonjak	men lonjak
terparah	ter parah
struktural	struktural
wawasannya	wawasan nya
mewarnai	men warna i
triwulan	triwulan
meresahkan	men resah kan
positif	positif
ditutup	di tutup
titik	titik
diinginkan	di ingin kan
teramati	ter amati
stoknya	stok nya
dilampiri	di lampir i
diterus	di terus
meja	meja
pelebaran	pen lebar an
memutakhirkan	men mutakhir kan
menegarkan	men tegar kan
diperdalam	di per dalam
difirmankan	di firman kan
pengungsi	pen ungsi
tikus	tikus
penginjil	pen injil
manajemen	manajemen
membantunya	men bantu nya
rahasia	rahasia
mengemudikan	men kemudi kan
berdamai	ber damai
membentang	men bentang
memperbaharui	men baharu i
menumpuk	men tumpuk
seprovinsi	se provinsi
membantu	men bantu
mengunggah	men unggah
jajarannya	jajar an nya
disarankan	di saran kan
menendang	men tendang
pengatur	pen atur
berintensitas	ber intensitas
pengangkutan	pen angkut an
tersingkirnya	ter singkir nya
menyepakatinya	men sepakat i nya
bantuan	bantu an
berusia	ber usia
angsa	angsa
penutup	pen tutup
kubu	kubu
bunga	bunga
akurasi	akurasi
seadat	se adat
pergeseran	per geser an
merepresentasikan	men representasi kan
ketidakpedulian	ke tidak peduli an
konseptual	konseptual
fasilitasnya	fasilitas nya
diskriminasi	diskriminasi
udang	udang
kuatirmu	kuatir mu
relevannya	relevan nya
operasionalnya	operasional nya
dukun	dukun
perda	perda
pil	pil
wawancara	wawancara
agenda	agenda
berkeluh	ber keluh
menghitung	men hitung
menyertifikasi	men sertifikasi
memulangkan	men pulang kan
pantauan	pantau an
nonmiskin	nonmiskin
bulanan	bulan an
akbar	akbar
penganut	pen anut
beku	beku
administratif	administratif
baitul	baitul
menerangi	men terang i
mengawasinya	men awas i nya
sibuknya	sibuk nya
perkataan	per kata an
dipeluk	di peluk
permintaan	per minta an
sektor	sektor
serap	serap
ditanya	di tanya
belakangnya	belakang nya
menjangkaunya	men jangkau nya
dukungannya	dukung an nya
silam	silam
tongkat	tongkat
yakin	yakin
lini	lini
agustus	agustus
berlipat	ber lipat
naik	naik
palungan	palung an
memperkarakan	men perkara kan
risiko	risiko
tanyakan	tanya kan
popularitas	popularitas
review	review
dihubungkan	di hubung kan
muslihat	muslihat
arif	arif
terabaikan	ter abai kan
tuntutannya	tuntut an nya
ayam	ayam
pemantau	pen pantau
penggratisan	pen gratis an
dipromosikan	di promosi kan
tentaranya	tentara nya
diandalkan	di andal kan
kepemimpinan	kepemimpinan
berkeluarga	ber keluarga
beternak	beternak
evaluasi	evaluasi
disoroti	di sorot i
hotelnya	hotel nya
berhubung	ber hubung
oknum	oknum
menyanyikan	men nyanyi kan
tekankan	tekan kan
roboh	roboh
dibanyak	di banyak
dukungan	dukung an
pulau	pulau
antarnegara	antar negara
sabaran	sabar an
klasifikasi	klasifikasi
perbudakan	per budak an
menabrakkannya	men tabrak kan nya
terlewatkan	ter lewat kan
terbunuh	ter bunuh
relevansinya	relevansi nya
budaknya	budak nya
ungkap	ungkap
canggung	canggung
menabung	men tabung
mengintervensi	men intervensi
mendapat	men dapat
seefisien	se efisien
diskon	diskon
berkampanye	ber kampanye
obligasi	obligasi
dewa	dewa
1950an	1950 an
jurang	jurang
sabuk	sabuk
guntingan	gunting an
gerutuan	gerutu an
pelukan	peluk an
memberdayakan	men ber daya kan
kamus	kamus
timbul	timbul
permainan	per main an
kumiliki	ku milik i
maksimal	maksimal
pemberitahuannya	pen beritahu an nya
sinar	sinar
ibuku	ibu ku
teknologi	teknologi
madu	madu
dibangun	di bangun
kendala	kendala
korea	korea
kalkulasi	kalkulasi
beracun	ber racun
beradu	ber adu
dihindari	di hindar i
tempati	tempat i
ketidakseragaman	ke tidak seragam an
dikutuk	di kutuk
menganggapnya	men anggap nya
diajarnya	di ajar nya
hindari	hindar i
diakibatkannya	di akibat kan nya
tempat	tempat
perampingan	pen ramping an
bilang	bilang
damai	damai
mutu	mutu
hapuskan	hapus kan
salahnya	salah nya
menyuruh	men suruh
menolong	men tolong
nonpeserta	non peserta
persawahan	per sawah an
doktrin	doktrin
berkontribusi	ber kontribusi
penentu	pen tentu
mencobai	men coba i
ajalnya	ajal nya
poin	poin
terorganisir	ter organisir
kebunnya	kebun nya
menyembuhkannya	men sembuh kan nya
mengembalikannya	men kembali kan nya
menentu	men tentu
mengenakan	men kena kan
pemimpinnya	pen pimpin nya
menyerahkan	men serah kan
antarpengukuran	antar pen ukur an
indah	indah
memanfaatkannya	men manfaat kan nya
mendaratkan	men darat kan
zaitun	zaitun
anugerahkan	anugerah kan
diramalkan	di ramal kan
penimbunan	pen timbun an
nasional	nasional
dipotong	di potong
disejajarkan	di sejajar kan
permasyarakatan	per masyarakat an
berangsur	ber angsur
mengendurkan	men kendur kan
melegakan	men lega kan
ditepatinya	di tepat i nya
memperlambat	men lambat
melaporkan	men lapor kan
menghanguskan	men hangus kan
membalikkan	men balik kan
terlaksananya	ter laksana nya
membohongi	men bohong i
penjaminnya	pen jamin nya
percakapan	per cakap an
situ	situ
topi	top i
terpenting	ter penting
menceritakan	men cerita kan
menggemakan	men gema kan
disampaikan	di sampai kan
produktifitas	produktifitas
dicap	di cap
menerkam	men terkam
periang	pen riang
balon	balon
eksekutif	eksekutif
liga	liga
normal	normal
didistribusikan	di distribusi kan
realistis	realistis
tandan	tandan
rekonstruksinya	rekonstruksi nya
persaudaraan	per saudara an
dongeng	dongeng
kompas	kompas
henti	henti
wisatawan	wisata wan
pengaruhnya	pengaruh nya
dayanya	daya nya
asosiasi	asosiasi
persidangan	per sidang an
penyulingan	pen suling an
ditaruhnya	di taruh nya
didirikannya	di diri kan nya
berdampak	ber dampak
mempelajari	men pelajar i
berlokasi	ber lokasi
diprediksi	di prediksi
alarm	alarm
palang	palang
disahkannya	di sah kan nya
mengukir	men ukir
jurus	jurus
kereta	kereta
terjerumus	ter jerumus
dialirkan	di alir kan
mungil	mungil
kasihmu	kasih mu
areal	areal
bermigrasi	ber migrasi
mendambakan	men damba kan
nyamuk	nyamuk
tingkatan	tingkat an
menurunkannya	men turun kan nya
jenazah	jenazah
dibakukan	di baku kan
penyalurannya	pen salur an nya
kertasnya	kertas nya
menuntunnya	men tuntun nya
