nontarif	non tarif
sekrup	sekrup
kelahiran	ke lahir an
diakomodasikan	di akomodasi kan
indikasinya	indikasi nya
andalkan	andal kan
sebutkan	sebut kan
termahal	ter mahal
amerika	amerika
nonusaha	non usaha
permainan	per main an
contohnya	contoh nya
tugasku	tugas ku
pengambil	pen ambil
ciptakan	cipta kan
dihapus	di hapus
pusing	pusing
agen	agen
interupsi	interupsi
diatas	di atas
menghabiskannya	men habis kan nya
dipercaya	di percaya
tabah	tabah
diusik	di usik
curah	curah
dijahitkan	di jahit kan
dunia	dunia
ekspresi	ekspresi
panen	panen
mengoper	men koper
jutaan	juta an
ketidaksetiaan	ke tidak setia an
perdana	perdana
membuatku	men buat ku
realitasnya	realitas nya
mengartikannya	men arti kan nya
dukanya	duka nya
jemaatnya	jemaat nya
gereja	gereja
sebaiknya	se baik nya
situasi	situasi
independent	independent
tindakan	tindak an
patah	patah
iman	iman
ibukota	ibukota
dianugerahkan	di anugerah kan
menggantungkan	men gantung kan
mengatakannya	men kata kan nya
membantunya	men bantu nya
ketidakaktifan	ke tidak aktif an
jagung	jagung
memperbaiki	men baik i
dusta	dusta
pagi	pagi
dilantik	di lantik
menempatkan	men tempat kan
pilihan	pilih an
politik	politik
terelakkan	ter elak kan
abstrak	abstrak
benturan	bentur an
puja	puja
kompleksnya	kompleks nya
nonpungutan	non pungut an
dosanya	dosa nya
atom	atom
reputasinya	reputasi nya
menyimpannya	men simpan nya
batasan	batas an
dihasilkan	di hasil kan
kontrak	kontrak
meningkat	men tingkat
diwarnai	di warna i
menyerap	men serap
adiknya	adik nya
menyenangkan	men senang kan
memunculkan	men muncul kan
kehendak	kehendak
diistilahkan	di istilah kan
mataku	mata aku
penggundulan	pen gundul an
membentuk	men bentuk
perancangan	pen rancang an
terorganisasi	ter organisasi
kutuju	ku tuju
kandungan	kandung an
penggaduhan	pen gaduh an
perbaikan	per baik an
menunggangi	men tunggang i
mendirikannya	men diri kan nya
menjabat	men jabat
semangat	semangat
dilanjutkan	di lanjut kan
klub	klub
digabungkan	di gabung kan
menaati	men taat i
mempengaruhi	men pengaruh i
lobi	lobi
diwawancara	di wawancara
menganggur	men anggur
cucu	cucu
salahnya	salah nya
pembongkaran	pen bongkar an
terpecahkan	ter pecah kan
kukenal	ku kenal
melonjak	men lonjak
mengusulkan	men usul kan
tanamnya	tanam nya
menyengsarakan	men sengsara kan
memahami	men paham i
cadangannya	cadang an nya
kemas	kemas
limpahan	limpah an
york	york
kriteria	kriteria
menapaki	men tapak i
menyepakati	men sepakat i
debiturnya	debitur nya
terbayang	ter bayang
momen	momen
seadat	se adat
pinjamannya	pinjam an nya
aduannya	adu an nya
antarjenis	antar jenis
letak	letak
reporter	reporter
terbitan	terbit an
kemunculannya	ke muncul an nya
penggarap	pen garap
siklus	siklus
persatuan	per satu an
saksama	saksama
kuterima	ku terima
petang	petang
dibangun	di bangun
tersalib	ter salib
antikekerasan	anti ke keras an
dibawa	di bawa
longsor	longsor
penderitaan	pen derita an
berpatokan	ber patok an
menduga	men duga
bicaranya	bicara nya
waktu	waktu
mewujudkannya	men wujud kan nya
kumpul	kumpul
tabir	tabir
banknya	bank nya
ditanggungnya	di tanggung nya
mengintensifkan	men intensif kan
memanjatkan	men panjat kan
tahunan	tahun an
dikte	dikte
bekerjasama	bekerjasama
keriput	keriput
dikelilingi	di keliling i
martabat	martabat
fleksibel	fleksibel
pangkal	pangkal
serahkan	serah kan
dominasi	dominasi
wajah	wajah
teknisnya	teknis nya
benaknya	benak nya
seteguh	se teguh
berpulangnya	ber pulang nya
sepatu	sepatu
almamater	almamater
berdalih	ber dalih
pribadinya	pribadi nya
kredibel	kredibel
melanjutkannya	men lanjut kan nya
diakhiri	di akhir i
kubu	kubu
identitasnya	identitas nya
bertetangga	ber tetangga
hartamu	harta mu
menebarkan	men tebar kan
diperkirakan	di per kira kan
perwujudan	per wujud an
presentase	presentase
dicatatkan	di catat kan
november	november
berintensitas	ber intensitas
bergabung	ber gabung
mengembalikannya	men kembali kan nya
moskow	moskow
meratap	men ratap
malaikat	malaikat
pemanah	pen panah
hadiah	hadiah
